Date,Open,High,Low,Close,Adj Close,Volume
2016-09-02,78.970001,79.029999,78.480003,78.870003,71.003708,1561100
2016-09-06,79.279999,79.339996,78.760002,79.110001,71.219742,2729900
2016-09-07,79.239998,79.989998,79.150002,79.589996,71.651878,3312500
2016-09-08,79.800003,80.459999,79.470001,80.080002,72.093018,2001800
2016-09-09,79.389999,79.410004,77.860001,77.860001,70.094421,2834200
2016-09-12,77.489998,79.209999,77.169998,78.839996,70.976685,2224700
2016-09-13,78.000000,78.050003,77.120003,77.250000,69.545258,4007800
2016-09-14,77.139999,78.230003,76.760002,76.970001,69.293190,3115100
2016-09-15,77.430000,79.529999,77.099998,79.099998,71.210754,2875300
2016-09-16,78.320000,79.290001,78.230003,79.089996,71.201759,7599600
2016-09-19,79.760002,80.879997,79.180000,80.349998,72.336082,3205500
2016-09-20,80.349998,80.470001,79.580002,79.580002,71.642876,2218400
2016-09-21,79.820000,80.190002,79.370003,80.070000,72.084015,2133400
2016-09-22,80.500000,81.080002,80.010002,80.029999,72.048004,1728500
2016-09-23,79.690002,79.949997,79.059998,79.580002,71.642876,2065100
2016-09-26,79.779999,80.269997,79.389999,79.470001,71.543854,2351000
2016-09-27,79.019997,79.820000,78.919998,79.410004,71.489838,2274600
2016-09-28,79.730003,81.309998,79.300003,81.190002,73.092308,2954500
2016-09-29,81.050003,81.190002,78.860001,79.279999,71.372803,4121800
2016-09-30,79.919998,80.959999,79.550003,80.550003,72.516144,2819900
2016-10-03,80.419998,80.769997,79.809998,80.410004,72.390114,1702800
2016-10-04,80.339996,81.269997,79.739998,79.820000,71.858948,1985400
2016-10-05,80.589996,81.410004,80.360001,81.089996,73.002274,2358100
2016-10-06,81.180000,81.500000,80.040001,80.769997,72.714172,1828800
2016-10-07,81.000000,81.070000,80.000000,80.389999,72.372101,1614700
2016-10-10,80.860001,81.440002,80.800003,81.300003,73.191330,1338500
2016-10-11,81.239998,81.339996,80.180000,80.559998,72.525146,1581600
2016-10-12,80.559998,80.559998,79.510002,79.809998,71.849937,1664600
2016-10-13,79.180000,79.459999,78.059998,79.150002,71.255775,2185300
2016-10-14,79.739998,80.120003,79.209999,79.309998,71.399796,1420800
2016-10-17,79.309998,79.720001,78.750000,79.139999,71.246765,2397000
2016-10-18,79.730003,79.989998,79.300003,79.589996,71.651878,1339300
2016-10-19,79.910004,80.110001,79.449997,79.669998,71.723900,1737400
2016-10-20,79.400002,79.919998,78.910004,79.739998,71.786911,1407300
2016-10-21,79.209999,80.430000,78.800003,80.349998,72.336082,2070800
2016-10-24,80.529999,81.029999,79.870003,80.589996,72.552139,1490300
2016-10-25,80.290001,81.080002,79.940002,80.760002,72.705185,2263300
2016-10-26,80.279999,81.510002,80.110001,81.059998,72.975266,2064900
2016-10-27,81.120003,81.260002,79.860001,79.989998,72.011971,2434400
2016-10-28,79.230003,81.760002,79.000000,80.129997,72.138016,2977400
2016-10-31,80.199997,81.989998,80.019997,81.150002,73.056290,2819800
2016-11-01,82.349998,83.209999,79.470001,80.250000,72.246056,4350600
2016-11-02,79.500000,79.809998,78.010002,78.339996,70.526550,2958400
2016-11-03,78.589996,79.800003,77.660004,79.080002,71.192764,2530700
2016-11-04,78.879997,79.550003,78.260002,78.599998,70.760628,1568500
2016-11-07,79.620003,80.230003,79.519997,79.930000,71.957977,2051400
2016-11-08,79.720001,80.730003,79.610001,79.889999,71.921959,1617300
2016-11-09,79.290001,83.160004,78.930000,82.449997,74.226646,4490400
2016-11-10,82.339996,83.760002,82.190002,83.089996,74.802795,3188500
2016-11-11,82.900002,83.089996,81.870003,82.220001,74.019585,2185500
2016-11-14,82.220001,83.500000,82.029999,83.360001,75.045853,2602400
2016-11-15,83.360001,83.779999,82.500000,83.699997,75.925774,2991100
2016-11-16,83.650002,83.820000,82.779999,83.000000,75.290810,1601300
